N_da_SC;Cod_Obra;Cod_insumo;Descricao_do_insumo;Qt_solicitada;Data_da_SC;Data_SC_chegada_a_obra;N_do_PC;Data_aprovacao_da_NT;Data_emissao_do_PC;Previsao_de_entrega;Quant_entregue;Saldo;Data_da_NF;N_da_NF;Data_entrada_na_obra;Data_vencimento;Status_da_NF
SC0001833;32633;C1416128;"BOTINA SEGURANCA; PROFISSIONAL; MATERIAL: COURO CURTIDO AO CROMO; REVESTIMENTO: SEM REVESTIMENTO; COR: PRETA; SOLADO: POLIURETANO BIDENSIDADE; PALMILHA: ANTIBACTERIANA; BIQUEIRA: BIQUEIRA DE PLASTICO; FECHAMENTO: ELASTICO; ACOLCHOAMENTO: SEM ACOLCHOAMENTO; TALONEIRA: PRETA; CONSTRUCAO: STANDARD; TAMANHO: 37; REQUISITOS ADICIONAIS: BOTA ORTOPEDICA; CA 28468; FAB: BRAVO.";10.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;10.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C153426;"BOTA SEGURANCA; USO GERAL; MATERIAL: COURO NOBUK; REVESTIMENTO: SEM REVESTIMENTO; COR: MARROM; SOLADO: BORRACHA NITRILICA; PALMILHA: SINTETICA; CANO: CURTO; BIQUEIRA: SEM BIQUEIRA; TAMANHO: 37; REQUISITOS ADICIONAIS: CERTIFICADO APROVACAO: C.A. C/GRAVACAO OBRIGATORIA; COM FORRO.";15.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;15.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C162701;"BOTA SEGURANCA; USO GERAL; MATERIAL: BORRACHA VULCANIZADA; REVESTIMENTO: SEM REVESTIMENTO; COR: PRETA; SOLADO: PVC; PALMILHA: SINTETICA; CANO: LONGO; BIQUEIRA: SEM BIQUEIRA; TAMANHO: 43; REQUISITOS ADICIONAIS: CERTIFICADO APROVACAO: C.A; C/ GRAVACAO OBRIGATORIA; COM FORRO.";20.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;20.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C164440;"BOTA SEGURANCA; USO GERAL; MATERIAL: BORRACHA VULCANIZADA; REVESTIMENTO: SEM REVESTIMENTO; COR: PRETA; SOLADO: PVC; PALMILHA: SINTETICA; CANO: LONGO; BIQUEIRA: SEM BIQUEIRA; TAMANHO: 39; REQUISITOS ADICIONAIS: CERTIFICADO APROVACAO: C.A. C/GRAVACAO OBRIGATORIA; COM FORRO.";15.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;15.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C164441;"BOTA SEGURANCA; USO GERAL; MATERIAL: BORRACHA VULCANIZADA; REVESTIMENTO: SEM REVESTIMENTO; COR: PRETA; SOLADO: PVC; PALMILHA: SINTETICA; CANO: LONGO; BIQUEIRA: SEM BIQUEIRA; TAMANHO: 41; REQUISITOS ADICIONAIS: CERTIFICADO APROVACAO: C.A. C/GRAVACAO OBRIGATORIA; COM FORRO.";20.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;20.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C174116;"BOTA SEGURANCA; USO GERAL; MATERIAL: BORRACHA VULCANIZADA; REVESTIMENTO: SEM REVESTIMENTO; COR: PRETA; SOLADO: BORRACHA VULCANIZADA; PALMILHA: SINTETICA; CANO: CURTO; BIQUEIRA: SEM BIQUEIRA; TAMANHO: 35; REQUISITOS ADICIONAIS: CERTIFICADO APROVACAO: C.A. C/GRAVACAO OBRIGATORIA; SEM FORRO.";5.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;5.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C1072729;"LUVA; SOLDAVEL; MATERIAL: CPVC-POLICLORETO VINILA CLORADO; COR: BEGE; EXTREMIDADE: ENCAIXE; PADRAO DIMENSIONAL: CLASSE: 6/24 KGF/CM2; DIAMETRO: 73 MM; REQUISITOS ADICIONAIS: AQUATHERM; F";30.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;30.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C1019023;"LUVA REDUCAO NAO METALICA; MATERIAL: PPR-POLIPROPILENO RANDOMICO; COR: VERDE; EXTREMIDADE: ENCAIXE; PADRAO DIMENSIONAL: CLASSE: PN 12; DIAMETRO: 75 X 63 MM.";40.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;40.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C925359;"OCULOS SEGURANCA; CONTRA IMPACTO; LENTE: FIXA; MATERIAL DA LENTE: POLICARBONATO; TIPO DE LENTE: INCOLOR; ESPESSURA DA LENTE: STANDARD; ARMACAO: NYLON; COR DA ARMACAO: CINZA; FIXACAO: HASTE; HASTE: AJUSTAVEL; MATERIAL DA HASTE: ACETATO; PROTETOR LATERAL: SEM PROTETOR; VENTILACAO: SEM VENTILACAO; TAMANHO: UNICO; FAB: DANNY - REF: 9722.";15.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;15.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C925347;"OCULOS SEGURANCA; CONTRA IMPACTO; LENTE: FIXA; MATERIAL DA LENTE: POLICARBONATO; TIPO DE LENTE: INCOLOR; ESPESSURA DA LENTE: STANDARD; ARMACAO: NYLON; COR DA ARMACAO: PRETA; FIXACAO: HASTE; HASTE: AJUSTAVEL; MATERIAL DA HASTE: ACETATO; PROTETOR LATERAL: SEM PROTETOR; VENTILACAO: SEM VENTILACAO; TAMANHO: UNICO; FAB: DANNY - REF: CA 9722.";9.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;9.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0002102;32665;C628449;"PASTA ESCRITORIO; COM GRAMPO TRILHO; MATERIAL: PLASTICO; REVESTIMENTO: SEM REVESTIMENTO; LOMBO: SEM LOMBO; ORELHAS: SEM ORELHAS; DIVISORIAS: SEM DIVISORIAS; VISOR: SEM VISOR; FECHAMENTO: SEM FECHAMENTO; COR: AZUL; TAMANHO: 240 X 330 MM; FORNECIMENTO: INDIVIDUAL.
TRILHO ELETRIFICADO P/SPOT";3.0;05/01/2024;20/01/2025;PC0000262;11/01/2024;17/01/2024;;3.0;0.0;07/12/2023;588803;;23/01/2024;Aprovado
SC0002102;32665;C958283;"MISTURADOR HIDRAULICO; APLICACAO: LAVATORIO; MESA; TIPO BICA: ALTA FIXA; ACABAMENTO: CROMADO; ACESSORIOS: AREJADOR EMBUTIDO; FABRICANTE: DECA; REFERENCIA: 1877 C37; REQUISITOS ADICIONAIS: (DN 15) LINHA IZY; FAB: DECA - REF: 1877 C37.
EMB FLAT 1 AR70";16.0;05/01/2024;20/01/2025;PC0000262;11/01/2024;17/01/2024;;16.0;0.0;07/12/2023;588803;;23/01/2024;Aprovado
SC0001787;32633;C139645;"OLEO COMBUSTIVEL; DIESEL; FORNECIMENTO: A GRANEL.";177.0;13/12/2023;28/12/2023;PC0000118;13/12/2023;13/12/2023;;177.0;0.0;30/11/2023;202713;;23/01/2024;Aprovado
SC0001788;32633;C139645;"OLEO COMBUSTIVEL; DIESEL; FORNECIMENTO: A GRANEL.";434.0;13/12/2023;28/12/2023;PC0000125;13/12/2023;13/12/2023;;434.0;0.0;30/11/2023;202715;;23/01/2024;Aprovado
SC0001789;32633;C139645;"OLEO COMBUSTIVEL; DIESEL; FORNECIMENTO: A GRANEL.";70.0;13/12/2023;28/12/2023;PC0000126;13/12/2023;13/12/2023;;70.0;0.0;30/11/2023;202698;;23/01/2024;Aprovado
SC0001799;32633;C139645;"OLEO COMBUSTIVEL; DIESEL; FORNECIMENTO: A GRANEL.";786.0;13/12/2023;28/12/2023;PC0000131;13/12/2023;13/12/2023;;786.0;0.0;16/11/2023;201886;;23/01/2024;Aprovado
SC0001800;32633;C1002990;"PERFIL TUBULAR; FORMATO: RETANGULAR; MATERIAL: ACO CARBONO ASTM A36; FABRICACAO: SEM COSTURA; TRATAMENTO SUPERFICIAL: SEM TRATAMENTO; PADRAO DIMENSIONAL:  DIMENSOES: 40 X 60 MM; ESPESSURA: 2,0 MM; COMPRIMENTO: 6000 MM; REQUISITOS ADICIONAIS: TUBO P/FINS INDUSTRIAIS; PRETO, PONTA LISA.";1.0;13/12/2023;28/12/2023;PC0000132;13/12/2023;14/12/2023;;1.0;0.0;13/12/2023;73;;23/01/2024;Aprovado
SC0001806;32633;C1535684;"TELA PROTECAO; APLICACAO: SINALIZACAO EM CONSTRUCOES; MATERIAL: POLIETILENO; COR: LARANJA/BRANCA; DIMENSOES: 1,2 X 50,0 M.";1.0;13/12/2023;28/12/2023;PC0000133;13/12/2023;14/12/2023;;1.0;0.0;14/11/2023;7590;;23/01/2024;Aprovado
SC0001833;32633;C161716;"PROTETOR AUDITIVO; PLUG DESCARTAVEL; MATERIAL: SILICONE; FORMATO: 3 FLANGES COM CORDAO; COR: LARANJA; TAMANHO: UNICO; INDICE DE REDUCAO DE RUIDO: 38 DB; REQUISITOS ADICIONAIS: CERTIFICADO APROVACAO: C.A; C/GRAVACAO OBRIGATORIA PRODUTO.";50.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;50.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C1013942;"LUVA; DUPLA; MATERIAL: PP-POLIPROPILENO; COR: MARROM; EXTREMIDADE: BOLSA JEI; PADRAO DIMENSIONAL: PARA TUBO IRAM 13476/1; DIAMETRO: 100 MM; FAB: GRUPO DEMA - REF: DURATOP LINHA M.";1.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;1.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C955366;"MASCARA SEMI FACIAL; DESCARTAVEL; MATERIAL: TNT/MICROFIBRA; VALVULA DE EXALACAO: SEM VALVULA DE EXALACAO; REFORCO: SEM REFORCO; CLASSE: PFF2-S; TAMANHO: UNICO; REQUISITOS ADICIONAIS: CONTRA POEIRAS, NEVOAS E FUMOS; FAB: 3M - REF: 9902.";1.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;1.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C270936;"BOTINA SEGURANCA; USO GERAL; MATERIAL: VAQUETA RELAX AO CROMO; REVESTIMENTO: SEM REVESTIMENTO; COR: PRETA; SOLADO: POLIURETANO BIDENSIDADE; PALMILHA: COMPOSITE; BIQUEIRA: BIQUEIRA DE COMPOSITE; FECHAMENTO: ELASTICO LATERAL; ACOLCHOAMENTO: DORSO; TALONEIRA: PRETA; CONSTRUCAO: STANDARD; TAMANHO: 43; REQUISITOS ADICIONAIS: CA 18056; PALMILHA: ANTIPERFURANTE.";5.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;5.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C140114;"BOTA SEGURANCA; USO GERAL; MATERIAL: PVC; REVESTIMENTO: SEM REVESTIMENTO; COR: PRETA; SOLADO: PVC; PALMILHA: SINTETICA; CANO: CURTO; BIQUEIRA: BIQUEIRA DE PVC; TAMANHO: 42.";15.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;15.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C153428;"BOTA SEGURANCA; USO GERAL; MATERIAL: COURO NOBUK; REVESTIMENTO: SEM REVESTIMENTO; COR: MARROM; SOLADO: BORRACHA NITRILICA; PALMILHA: SINTETICA; CANO: CURTO; BIQUEIRA: SEM BIQUEIRA; TAMANHO: 41; REQUISITOS ADICIONAIS: CERTIFICADO APROVACAO: C.A. C/GRAVACAO OBRIGATORIA; COM FORRO.";15.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;15.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C51872;"CAPACETE SEGURANCA; ABA FRONTAL; MATERIAL: POLIETILENO; LATERAL: SEM FENDA; SUSPENSAO: TIRA CRUZADA; JUGULAR: COM JUGULAR; PROTETOR AUDITIVO: SEM PROTETOR AUDITIVO; PROTETOR FACIAL: SEM PROTETOR FACIAL; PADRAO: COR: AMARELO; REQUISITOS ADICIONAIS: TAMANHO: UNICO; LOGOMARCA: S/LOGOMARCA; CERTIFICADO APROVACAO: C.A. C/GRAVACAO OBRIGATORIA.";10.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;10.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C161834;"CAPACETE SEGURANCA; ABA FRONTAL; MATERIAL: POLIETILENO; LATERAL: SEM FENDA; SUSPENSAO: AJUSTAVEL SIMPLES; JUGULAR: SEM JUGULAR; PROTETOR AUDITIVO: SEM PROTETOR AUDITIVO; PROTETOR FACIAL: SEM PROTETOR FACIAL; PADRAO: COR: AMARELO; REQUISITOS ADICIONAIS: TAMANHO: UNICO; LOGOMARCA: S/LOGOMARCA; CERTIFICADO APROVACAO: C.A. C/GRAVACAO OBRIGATORIA.";10.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;10.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C277868;"CAPACETE SEGURANCA; ABA FRONTAL; MATERIAL: POLIETILENO; LATERAL: SEM FENDA; SUSPENSAO: AJUSTAVEL SIMPLES; JUGULAR: COM JUGULAR; PROTETOR AUDITIVO: COM PROTETOR AUDITIVO; PROTETOR FACIAL: COM PROTETOR FACIAL;  COR: VERDE; REQUISITOS ADICIONAIS: TAMANHO: UNICO; LOGOMARCA: C/LOGOMARCA; C/ ACOPLAMENTO; CERTIFICADO APROVACAO: C.A. C/GRAVACAO OBRIGATORIA.";20.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;20.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C60215;"CAPACETE SEGURANCA; ABA FRONTAL; MATERIAL: POLIETILENO; LATERAL: SEM FENDA; SUSPENSAO: DUPLA; JUGULAR: COM JUGULAR; PROTETOR AUDITIVO: SEM PROTETOR AUDITIVO; PROTETOR FACIAL: SEM PROTETOR FACIAL;  COR: LARANJA; REQUISITOS ADICIONAIS: TAMANHO: UNICO; LOGOMARCA: S/LOGOMARCA; CERTIFICADO APROVACAO: C.A. C/GRAVACAO OBRIGATORIA.";4.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;4.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C362472;"CAPACETE SEGURANCA; ABA FRONTAL; MATERIAL: POLIETILENO; LATERAL: SEM FENDA; SUSPENSAO: AJUSTAVEL SIMPLES; JUGULAR: COM JUGULAR; PROTETOR AUDITIVO: SEM PROTETOR AUDITIVO; PROTETOR FACIAL: SEM PROTETOR FACIAL; PADRAO: COR: BRANCO; REQUISITOS ADICIONAIS: TAMANHO: UNICO; LOGOMARCA: S/LOGOMARCA; CERTIFICADO APROVACAO: C.A. C/GRAVACAO OBRIGATORIA.";5.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;5.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C174370;"COLETE SINALIZACAO; X; MATERIAL: PVC; COR: LARANJA/BRANCO; TAMANHO: UNICO; REQUISITOS ADICIONAIS: LARANJA C/FAIXAS REFLETIVAS INTEIRICAS BRANCA.";30.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;30.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C1669609;"COLETE SINALIZACAO; SAFARI - MODELO FEMININO; MATERIAL: TECIDO 100% ALGODAO; FECHAMENTO: VELCRO; COR: AMARELO OURO 125; TAMANHO: M; REQUISITOS ADICIONAIS: ALGODAO SANTISTA; COM DIVERSOS BOLSOS E TELA 100% POLIESTER.";30.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;30.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C1013942;"LUVA; DUPLA; MATERIAL: PP-POLIPROPILENO; COR: MARROM; EXTREMIDADE: BOLSA JEI; PADRAO DIMENSIONAL: PARA TUBO IRAM 13476/1; DIAMETRO: 100 MM; FAB: GRUPO DEMA - REF: DURATOP LINHA M.";30.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;30.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C925359;"OCULOS SEGURANCA; CONTRA IMPACTO; LENTE: FIXA; MATERIAL DA LENTE: POLICARBONATO; TIPO DE LENTE: INCOLOR; ESPESSURA DA LENTE: STANDARD; ARMACAO: NYLON; COR DA ARMACAO: CINZA; FIXACAO: HASTE; HASTE: AJUSTAVEL; MATERIAL DA HASTE: ACETATO; PROTETOR LATERAL: SEM PROTETOR; VENTILACAO: SEM VENTILACAO; TAMANHO: UNICO; FAB: DANNY - REF: 9722.";15.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;15.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
SC0001833;32633;C460028;"PROTETOR SOLAR; GRAU DE PROTECAO: FATOR 58 FPS; FORNECIMENTO: BOMBONA PLASTICA 4 L.";3.0;14/12/2023;29/12/2023;PC0000147;14/12/2023;18/12/2023;;3.0;0.0;11/10/2023;41401;;28/03/2024;Aprovado
